OBS,VNM_EXPSP_NTP,VNM_EXPH_NTP,VNM_OGI_NTP,VNM_EFF_NTP,VNM_IPR_A_NTP,VNM_TECHL_A_NTP,VNM_GINI_DISP_A_NTP,VNM_PM25_A_NTP,VNM_REL_RED_A_NTP,VNM_RPDI_A_NTP
2000,16579.88000461550000,8124.90473634045000,28116.00265675200000,0.46142432819565,,,,,,
2001,18202.56846312910000,8131.01998587689000,38268.40526910250000,0.47680513913551,,,,,,
2002,18201.35799257930000,9873.24024642721000,47512.68320269740000,0.49218595007536,,,,,,
2003,22018.21148511470000,12043.30210376410000,67993.36954437260000,0.50756676101522,,,,,,
2004,26220.77921123770000,15434.90550010210000,66469.05209091530000,0.52294757195507,,,,,,
2005,36066.22246858640000,22577.13230141950000,83286.39583536050000,0.53832838289493,,,,,,
2006,41587.19958186590000,25029.98524169720000,92840.59589783890000,0.55370919383478,,,,,,
2007,53538.07631454550000,30886.79152881400000,124810.06357493200000,0.56909000477464,,,,,,
2008,67631.20189107270000,39900.20193596710000,152605.26342240600000,0.58447081571449,,,,,,
2009,97483.00766594850000,55112.23650777600000,225978.63307793600000,0.59985162665435,,,,,,
2010,118946.24961430100000,61960.90942585760000,240500.26405612500000,0.61523243759420,0.07581320786366,-0.02206693820227,0.00026467282148,,3.31010305346444,-0.00000000001791
2011,142669.12901899000000,71511.13422143260000,251520.52545585900000,0.63061324853406,-0.12457083501178,-0.00016938659652,-0.00224415833705,-0.02611851001320,3.41284559535560,-0.00000000001791
2012,172153.30000000000000,90217.24000000000000,343212.00000000000000,0.64599410000000,-0.06741282462728,0.00943575453139,-0.00218704431443,-0.03750883916711,3.55150798428582,1.08113130811126
2013,197784.80000000000000,107739.50000000000000,385053.50000000000000,0.66137490000000,-0.01384254744635,0.02589669428345,0.00059280096395,-0.00220827006846,3.37387357596085,-0.99707397632180
2014,207752.80000000000000,112264.90000000000000,370489.30000000000000,0.67675570000000,0.05444071498327,-0.00142126501915,0.00032660956039,-0.04945746349763,3.82352466301691,0.03143620540656
2015,231960.30000000000000,129728.20000000000000,421640.60000000000000,0.69213650000000,-0.02576424822267,-0.00878489562139,-0.00027655779291,-0.07604546969175,3.85841285057658,-0.49976216876530
2016,225872.30000000000000,137673.90000000000000,402237.00000000000000,0.70751730000000,0.05116562058085,-0.01428702240527,0.00224011144241,-0.08233761341293,4.49928157346238,-0.08086586687926
2017,262748.50000000000000,141950.30000000000000,431377.50000000000000,0.72289810000000,0.00568150361302,-0.00629564148205,-0.00000959968497,-0.02509681972341,4.30608596095572,-0.99630743870378
2018,268885.80000000000000,158229.60000000000000,449982.20000000000000,0.73827890000000,0.02569614122587,-0.01546782577270,-0.00026769001875,0.00171781797742,4.88387251500524,-0.55163516469095
