OBS,VNM_OGC_EDU,VNM_OGI_EDU,VNM_TECHL_A_EDU,VNM_GINI_DISP_A_EDU,VNM_OGI_EDU
2000,42366.081089346700000000,28116.002656752000000000,,,28116.00266
2001,46970.924024380400000000,38268.405269102500000000,,,38268.40527
2002,51978.286711044700000000,47512.683202697400000000,,,47512.6832
2003,62244.204124324800000000,67993.369544372600000000,,,67993.36954
2004,75006.484846825500000000,66469.052090915300000000,,,66469.05209
2005,87157.920607754200000000,83286.395835360500000000,,,83286.39584
2006,103818.166262031000000000,92840.595897838900000000,,,92840.5959
2007,124792.446083171000000000,124810.063574932000000000,,,124810.0636
2008,156238.850492077000000000,152605.263422406000000000,,,152605.2634
2009,166305.525926527000000000,225978.633077936000000000,,,225978.6331
2010,194408.794829590000000000,240500.264056125000000000,-0.022066938202271900,0.000264672821475962,240500.2641
2011,246040.853000000000000000,251520.525455859000000000,-0.000169386596524287,-0.002244158337048720,251520.5255
2012,299860.600000000000000000,343212.000000000000000000,0.009435754531393810,-0.002187044314425460,343212
2013,335355.400000000000000000,385053.500000000000000000,0.025896694283449500,0.000592800963953030,385053.5
2014,351789.900000000000000000,370489.300000000000000000,-0.001421265019149250,0.000326609560391300,370489.3
2015,374519.600000000000000000,421640.600000000000000000,-0.008784895621386190,-0.000276557792906943,421640.6
2016,385580.900000000000000000,402237.000000000000000000,-0.014287022405265000,0.002240111442406050,402237
2017,402548.600000000000000000,431377.500000000000000000,-0.006295641482047260,-0.000009599684971710,431377.5
2018,428025.100000000000000000,449982.000000000000000000,-0.015467825772696900,-0.000267690018754547,449982
2019,485877.900000000000000000,588440.800000000000000000,-0.033507755287715400,-0.000000000000000088,588440.8
2020,368067.500000000000000000,614249.500000000000000000,-0.020444589801725500,0.000002124718391803,614249.5
2021,314843.200000000000000000,647881.800000000000000000,-0.016760722328507700,0.000000029131451554,647881.8
2022,352492.000000000000000000,719326.900000000000000000,-0.013181948634031800,0.000000087394523040,719326.9
2023,551340.400000000000000000,806888.000000000000000000,-0.007106835600349580,-0.011425425379379100,806888
2024,595881.300000000000000000,903108.400000000000000000,-0.003392986960548450,-0.010191970163450200,903108.4
2025,636163.900000000000000000,1006049.000000000000000000,-0.000365823710159108,-0.009126029133621270,1006049
2026,680337.900000000000000000,1119993.000000000000000000,0.002086390893665380,-0.008175820405127330,1119993
2027,728855.300000000000000000,1221491.000000000000000000,0.004634669142044110,-0.007393745502976710,1221491
2028,779719.100000000000000000,1331069.000000000000000000,0.006610334077809600,-0.006729788942027790,1331069
2029,831380.100000000000000000,1448284.000000000000000000,0.008128690357282000,-0.006150671095423220,1448284
2030,883538.500000000000000000,1573112.000000000000000000,0.009296875159511750,-0.005637378102549670,1573112
2031,778768.300000000000000000,1702874.000000000000000000,0.009393112921123910,-0.005168564622523250,1702874
2032,834863.300000000000000000,1843907.000000000000000000,0.010174619013334200,-0.004745500978531780,1843907
2033,894356.400000000000000000,1996416.000000000000000000,0.010826172079674900,-0.004365943756007410,1996416
2034,957395.000000000000000000,2159222.000000000000000000,0.011333153594773100,-0.004020801431121040,2159222
2035,1024204.000000000000000000,2332194.000000000000000000,0.011764115620050900,-0.003708377521332320,2332194
2036,1093303.000000000000000000,2511855.000000000000000000,0.012112828226577100,-0.003429909335777910,2511855
2037,1166738.000000000000000000,2703984.000000000000000000,0.012386351501897900,-0.003176005525298040,2703984
2038,1243294.000000000000000000,2907325.000000000000000000,0.012592441819262600,-0.002942388853788320,2907325
2039,1323584.000000000000000000,3122545.000000000000000000,0.012767233457441000,-0.002730086106309250,3122545
2040,1408020.000000000000000000,3350346.000000000000000000,0.012909417285611800,-0.002535077357003050,3350346
2041,1494991.000000000000000000,3586921.000000000000000000,0.012986973805661900,-0.002360319351753860,3586921
2042,1586505.000000000000000000,3839086.000000000000000000,0.013087175648032500,-0.002199366898582550,3839086
2043,1681305.000000000000000000,4105285.000000000000000000,0.013193804391270200,-0.002051219460923480,4105285
2044,1780149.000000000000000000,4386180.000000000000000000,0.013250623521069900,-0.001914810288284230,4386180
2045,1883483.000000000000000000,4682505.000000000000000000,0.013296618633463900,-0.001788666246752130,4682505
2046,1986978.000000000000000000,4983457.000000000000000000,0.013328562520776100,-0.001676429932937380,4983457
2047,2095873.000000000000000000,5305581.000000000000000000,0.013339545700638600,-0.001572847707856910,5305581
2048,2206265.000000000000000000,5643861.000000000000000000,0.013326890893870700,-0.001475150412927370,5643861
2049,2319516.000000000000000000,5998912.000000000000000000,0.013313219744531000,-0.001385237051971440,5998912
2050,2436368.000000000000000000,6371445.000000000000000000,0.013301377667727400,-0.001302990308320320,6371445
