OBS,VNM_OGI_ICT,VNM_REL_RED_ICT,VNM_IPR_A_ICT,VNM_TECHL_A_ICT,VNM_FINC_A_ICT
2000,28116.002656752000000,15.288220551378500,,,
2001,38268.405269102500000,15.250000000000000,,,
2002,47512.683202697400000,15.174129353233800,,,
2003,67993.369544372600000,15.384615384615400,,,
2004,66469.052090915300000,15.099009900990100,,,
2005,83286.395835360500000,14.851485148514900,,,
2006,92840.595897838900000,14.851485148514900,,,
2007,124810.063574932000000,14.814814814814800,,,
2008,152605.263422406000000,14.567901234567900,,,
2009,225978.633077936000000,14.074074074074100,,,
2010,240500.264056125000000,13.827160493827200,0.075813207863663,-0.022066938202272,0.000000000000001
2011,251520.525455859000000,13.613861386138600,-0.124570835011778,-0.000169386596524,0.000000000000001
2012,343212.000000000000000,13.895780000000000,-0.067412824627275,0.009435754531394,3.193816515502900
2013,385053.500000000000000,13.895780000000000,-0.013842547446352,0.025896694283450,3.193820000000000
2014,370489.300000000000000,14.143920000000000,0.054440714983272,-0.001421265019149,3.193810000000000
2015,421640.600000000000000,14.392060000000000,-0.025764248222672,-0.008784895621386,-0.051710000000000
2016,402237.000000000000000,14.603960000000000,0.051165620580848,-0.014287022405265,-0.051720000000000
2017,431377.500000000000000,14.603960000000000,0.005681503613019,-0.006295641482047,-0.051720000000000
2018,449982.200000000000000,14.851490000000000,0.025696141225865,-0.015467825772697,0.000000000000001
2019,588441.300000000000000,14.851490000000000,0.098138402254879,-0.033507755287715,0.000000000000001
2020,614250.000000000000000,14.852780000000000,-0.038269985383516,-0.020444589801726,0.000000000000001
2021,649345.200000000000000,14.852810000000000,-0.034528292805094,-0.016070992013391,0.125405511839385
2022,720790.900000000000000,14.852900000000000,0.076120884903062,-0.012566492733580,0.111901072809352
2023,803521.400000000000000,14.853120000000000,0.072227400690830,-0.008461075088058,0.100009060179339
2024,899553.300000000000000,14.853400000000000,0.029979121756868,-0.004601037627998,0.089213180532096
2025,1004775.000000000000000,14.853710000000000,0.036120080741627,-0.001447536784213,0.079883291619903
2026,1121146.000000000000000,14.853980000000000,0.036290905186133,0.001335103389458,0.111171159905753
2027,1225416.000000000000000,14.854000000000000,0.020466831983074,0.003955380784841,0.100517144445770
2028,1337539.000000000000000,14.854140000000000,0.009195717293302,0.005991909221809,0.091510917153715
2029,1457129.000000000000000,14.854320000000000,0.005923952220054,0.007563465373665,0.083638709128670
2030,1584225.000000000000000,14.854510000000000,0.004535740994153,0.008778857819826,0.076653196255214
2031,1720792.000000000000000,14.854580000000000,0.002665856570427,0.009393112921124,0.000000000000001
2032,1865686.000000000000000,14.854680000000000,0.004363894603799,0.010174619013334,0.000000000000001
2033,2019710.000000000000000,14.854730000000000,0.004519503413924,0.010826172079675,0.000000000000001
2034,2183456.000000000000000,14.854810000000000,0.005038019825662,0.011333153594773,0.000000000000001
2035,2357499.000000000000000,14.854830000000000,0.005608685560238,0.011764115620051,0.000000000000001
2036,2538486.000000000000000,14.854900000000000,0.005609530963444,0.012112828226577,0.000000000000001
2037,2732306.000000000000000,14.855030000000000,0.004458659056504,0.012386351501898,0.000000000000001
2038,2937684.000000000000000,14.855100000000000,0.005089506547386,0.012592441819263,0.000000000000001
2039,3155268.000000000000000,14.855170000000000,0.005499929581938,0.012767233457441,0.000000000000001
2040,3385740.000000000000000,14.855240000000000,0.005961010337890,0.012909417285612,0.000000000000001
2041,3625192.000000000000000,14.855370000000000,0.005921898055145,0.012986973805662,0.000000000000001
2042,3880524.000000000000000,14.855540000000000,0.005073361478519,0.013087175648033,0.000000000000001
2043,4150149.000000000000000,14.855650000000000,0.005641308532641,0.013193804391270,0.000000000000001
2044,4434723.000000000000000,14.855780000000000,0.006008152721916,0.013250623521070,0.000000000000001
2045,4734976.000000000000000,14.855910000000000,0.006387173871900,0.013296618633464,0.000000000000001
2046,5039950.000000000000000,14.856120000000000,0.006030359504164,0.013328562520776,0.000000000000001
2047,5366396.000000000000000,14.856330000000000,0.003863598135581,0.013339545700639,0.000000000000001
2048,5709232.000000000000000,14.856530000000000,0.004312152337529,0.013326890893871,0.000000000000001
2049,6069064.000000000000000,14.856770000000000,0.004392815786992,0.013313219744531,0.000000000000001
2050,6446606.000000000000000,14.856970000000000,0.004493638059793,0.013301377667727,0.000000000000001
