OBS,VNM_OGI_RAN,VNM_PR_RAN,VNM_LRXF_RAN,VNM_IPR_A_RAN,VNM_RC_A_RAN,VNM_LNNF_RAN
2000,28116.00266,,0.82067909,,,19810.058
2001,38268.40527,,0.82165173,,,20065.308
2002,47512.6832,,0.82153072,,,20694.116
2003,67993.36954,,0.82015837,,,21026.257
2004,66469.05209,,0.81885051,,,21468.394
2005,83286.39584,,0.81827856,,,21920.58
2006,92840.5959,,0.81616356,,,22344.381
2007,124810.0636,,0.81482907,,,22782.605
2008,152605.2634,,0.81446201,,,23276.999
2009,225978.6331,,0.8139086,,,23704.363
2010,240500.2641,33.68142225,0.8115656,0.075813208,,24175.036
2011,251520.5255,32.72047735,0.8111884,-0.124570835,0.182948636,24611.563
2012,343212,30.63603,0.8153498,-0.067412825,0.077125015,25096.32
2013,385053.5,28.63101,0.8252107,-0.013842547,-0.012736911,25678.9
2014,370489.3,27.53889,0.827383,0.054440715,-0.0266625,26054.45
2015,421640.6,23.67632,0.8251649,-0.025764248,-0.222298515,26076.68
2016,402237,22.88425,0.8236732,0.051165621,-0.008424972,26242.34
2017,431377.5,20.98273,0.8252751,0.005681504,0.176789746,26516.73
2018,449982.2,19.03321,0.8283201,0.025696141,-0.15940441,27010.95
2019,588441.3,17.33266,0.8266913,0.098138402,-0.343516787,26881.77
2020,614250,18.59466,0.8328402,-0.03822852,-0.088855441,27191.23
2021,966802.3,20.52712,0.8359899,-0.037613744,0.03199872,27447.68
2022,1044752,21.24912,0.8390325,0.073475158,-0.022208257,28043.22
2023,1133538,21.88284,0.8421285,0.070000564,-0.024712929,28084.64
2024,1235555,22.51138,0.845452,0.028009307,-0.025696814,28145.67
2025,1346789,23.14501,0.8490232,0.034364576,-0.023309965,28274.95
2026,1469768,23.79414,0.8528582,0.033738285,-0.02696264,28431.45
2027,1577810,24.45446,0.8587426,0.018093986,-0.032157519,28691.51
2028,1693981,25.07464,0.862607,0.006968917,-0.030440856,28900.19
2029,1817686,25.7113,0.8651449,0.003821768,-0.030307393,29043.01
2030,1948843,26.36264,0.8668115,0.002550377,-0.030408842,29155.08
2031,2352288,27.02508,0.8679061,0.002666347,0.042588303,29251.75
2032,2503804,27.69901,0.8686249,0.004363857,0.041660398,29450.73
2033,2664166,28.38442,0.8690969,0.004519762,0.041661448,29490.14
2034,2833958,29.08104,0.8694069,0.005037457,0.041659532,29518.67
2035,3013759,29.78883,0.8696105,0.005608782,0.041535619,29546.16
2036,3200207,30.50752,0.8697442,0.005609283,0.04079872,29565.67
2037,3399208,31.24085,0.869832,0.004458713,0.041495759,29565.37
2038,3609494,31.98616,0.8698897,0.00509017,0.041397222,29537.59
2039,3831725,32.74351,0.8699276,0.005499606,0.041345812,29480.07
2040,4066582,33.5129,0.8699524,0.005960859,0.041426214,29404.29
2041,4310160,34.2938,0.8699688,0.00592181,0.040675766,29318.07
2042,4569372,35.08866,0.8699795,0.005073293,0.041216036,29218
2043,4842643,35.8963,0.8699865,0.005641609,0.041111502,29105.98
2044,5130638,36.71694,0.8699912,0.006008157,0.041037082,28979.84
2045,5434087,37.55072,0.8699942,0.006387264,0.041064587,28838.96
2046,5742021,38.39749,0.8699962,0.006030385,0.03978704,28686.69
2047,6071217,39.258,0.8699975,0.003863306,0.040845854,28519.95
2048,6416603,40.13151,0.8699984,0.004312524,0.040687661,28338.27
2049,6778789,41.01861,0.8699989,0.004392619,0.040594472,28146.64
2050,7158500,41.91961,0.8699993,0.004493641,0.040697158,27947.82
