OBS,VNM_EXPSP_NTN,VNM_EXPH_NTN,VNM_OGI_NTN,VNM_EFF_NTN,VNM_LRXF_NTN,VNM_IPR_A_NTN,VNM_TECHL_A_NTN,VNM_GINI_DISP_A_NTN,VNM_PM25_A_NTN,VNM_REL_RED_A_NTN,VNM_RPDI_A_NTN,VNM_SKRAT_NTN
2000,16579.88,8124.904736,28116.00266,0.461424328,0.82067909,,,,,,,
2001,18202.56846,8131.019986,38268.40527,0.476805139,0.82165173,,,,,,,
2002,18201.35799,9873.240246,47512.6832,0.49218595,0.82153072,,,,,,,
2003,22018.21149,12043.3021,67993.36954,0.507566761,0.82015837,,,,,,,
2004,26220.77921,15434.9055,66469.05209,0.522947572,0.81885051,,,,,,,
2005,36066.22247,22577.1323,83286.39584,0.538328383,0.81827856,,,,,,,
2006,41587.19958,25029.98524,92840.5959,0.553709194,0.81616356,,,,,,,
2007,53538.07631,30886.79153,124810.0636,0.569090005,0.81482907,,,,,,,
2008,67631.20189,39900.20194,152605.2634,0.584470816,0.81446201,,,,,,,
2009,97483.00767,55112.23651,225978.6331,0.599851627,0.8139086,,,,,,,
2010,118946.2496,61960.90943,240500.2641,0.615232438,0.8115656,0.075813208,-0.022066938,0.000264673,,3.310103054,0,0.40349781
2011,142669.129,71511.13422,251520.5255,0.630613249,0.8111884,-0.124570835,-0.000169387,-0.002244158,-0.02611851,3.412845595,0,0.424280058
2012,172153.3,90217.24,343212,0.6459941,0.8153498,-0.067412825,0.009435755,-0.002187044,-0.037508839,3.551507984,1.081131308,0.430875572
2013,197784.8,107739.5,385053.5,0.6613749,0.8252107,-0.013842547,0.025896694,0.000592801,-0.00220827,3.373873576,-0.997073976,0.448701944
2014,207752.8,112264.9,370489.3,0.6767557,0.827383,0.054440715,-0.001421265,0.00032661,-0.049457464,3.823524663,0.031436205,0.47091054
2015,231960.3,129728.2,421640.6,0.6921365,0.8251649,-0.025764248,-0.008784896,-0.000276558,-0.07604547,3.858412851,-0.499762169,0.456178753
2016,225872.3,137673.9,402237,0.7075173,0.8236732,0.051165621,-0.014287022,0.002240111,-0.082337613,4.499281574,-0.080865867,0.476874511
2017,262748.5,141950.3,431377.5,0.7228981,0.8252751,0.005681504,-0.006295642,-9.60E-06,-0.02509682,4.306085961,-0.996307439,0.494178467
2018,268885.8,158229.6,449982.2,0.7382789,0.8283201,0.025696141,-0.015467826,-0.00026769,0.001717818,4.883872515,-0.551635165,0.50293182
2019,328481.1,195132.3,588441.3,0.7536597,0.8266913,0.098138402,-0.033507755,0,-0.011975792,4.393877913,2.022516177,0.607652415
2020,357818,203690.6,614250,0.7690405,0.8328402,-0.03822852,-0.02044459,2.02E-06,-0.025270462,4.151733065,-0.26115573,0.631612328
2021,395302.2,215938.4,706952,0.7969498,0.8356088,-0.03728117,-0.015078214,-0.000645687,-0.018329362,9.117800149,341368.7761,0.668823515
2022,442962.3,239629.6,778397.7,0.8235099,0.8386328,0.073760602,-0.011680357,-0.00057584,-0.01145207,8.565795875,328440.5928,0.680022955
2023,498389.2,267064.1,861128.2,0.8488819,0.8419026,0.070240982,-0.007669242,-0.000514576,-0.010889208,8.05199117,315807.9765,0.699650014
2024,563070.4,298909.4,957160.1,0.8731754,0.8454101,0.028222093,-0.003894839,-0.000459121,-0.010604059,7.571726004,303661.1563,0.720537316
2025,634746.7,333800.5,1062382,0.8965368,0.8491222,0.034554344,-0.000814903,-0.000410689,-0.010365699,7.143254864,291982.9892,0.742693645
2026,701347.9,371457.4,1120172,0.9190674,0.852692,0.033738285,0.001683931,-0.000367905,-0.010214302,3.925692723,-2.295566427,0.764685071
2027,773368.3,405654.4,1223331,0.9409168,0.8586335,0.018093986,0.003402881,-0.000334103,-0.010216448,3.935957579,-0.457086453,0.788031515
2028,852549.2,443028.3,1334798,0.9621849,0.8625354,0.006968917,0.005488203,-0.000302839,-0.010229246,3.92064198,1.080977433,0.811180067
2029,937409.5,482790.6,1453975,0.9829447,0.8650978,0.003821768,0.007103606,-0.000276564,-0.0102711,3.897313142,1.092418106,0.835934014
2030,1028046,524991.7,1580777,1.003254,0.8667806,0.002550377,0.008357283,-0.000253965,-0.010340512,3.872496506,-1.313067251,0.862502058
2031,1124309,570631.6,1718079,1.018635,0.8678858,0.002666347,0.009392158,-0.00023322,-0.008718387,3.860500598,6.074224039,0.888430164
2032,1226016,618690.1,1862741,1.034016,0.8686115,0.004363857,0.010175867,-0.000213242,-0.008952142,3.852763511,-2.896618288,0.9162242
