OBS,VNM_OGC_EDN,VNM_OGI_EDN,VNM_LRXF_EDN,VNM_TECHL_A_EDN,VNM_GINI_DISP_A_EDN,VNM_SKRAT_EDN
2000,42366.081089347,28116.002656752,0.820679090,,,
2001,46970.924024380,38268.405269103,0.821651730,,,
2002,51978.286711045,47512.683202697,0.821530720,,,
2003,62244.204124325,67993.369544373,0.820158370,,,
2004,75006.484846826,66469.052090915,0.818850510,,,
2005,87157.920607754,83286.395835361,0.818278560,,,
2006,103818.166262031,92840.595897839,0.816163560,,,
2007,124792.446083171,124810.063574932,0.814829070,,,
2008,156238.850492077,152605.263422406,0.814462010,,,
2009,166305.525926527,225978.633077936,0.813908600,,,
2010,194408.794829590,240500.264056125,0.811565600,-0.022066938,0.000264673,0.40349781
2011,246040.853000000,251520.525455859,0.811188400,-0.000169387,-0.002244158,0.424280058
2012,299860.600000000,343212.000000000,0.815349800,0.009435755,-0.002187044,0.430875572
2013,335355.400000000,385053.500000000,0.825210700,0.025896694,0.000592801,0.448701944
2014,351789.900000000,370489.300000000,0.827383000,-0.001421265,0.000326610,0.47091054
2015,374519.600000000,421640.600000000,0.825164900,-0.008784896,-0.000276558,0.456178753
2016,385580.900000000,402237.000000000,0.823673200,-0.014287022,0.002240111,0.476874511
2017,402548.600000000,431377.500000000,0.825275100,-0.006295641,-0.000009600,0.494178467
2018,428025.100000000,449982.000000000,0.828320100,-0.015467826,-0.000267690,0.50293182
2019,485877.900000000,588440.800000000,0.826691300,-0.033507755,0.000000000,0.607652415
2020,368067.500000000,614249.400000000,0.832840200,-0.020444590,0.000002018,0.631612328
2021,314843.200000000,647881.800000000,0.835191400,-0.016760867,-0.000000048,0.668823515
2022,352492.000000000,719326.800000000,0.837928600,-0.013181809,0.000000271,0.680022955
2023,551340.400000000,806819.200000000,0.841402500,-0.007106840,-0.011425434,0.713801976
2024,595881.300000000,903165.000000000,0.844953100,-0.003393147,-0.010192174,0.750485852
2025,636163.900000000,1006129.000000000,0.848626700,-0.000365679,-0.009125845,0.790331847
2026,680337.900000000,1120025.000000000,0.852520700,0.002086391,-0.008175820,0.832002069
2027,728366.200000000,1220442.000000000,0.858521000,0.004635777,-0.007398122,0.877424308
2028,778969.800000000,1329336.000000000,0.862461500,0.006610294,-0.006731986,0.927176652
2029,830493.900000000,1446074.000000000,0.865049300,0.008128831,-0.006150709,0.98199518
2030,882579.000000000,1570519.000000000,0.866748800,0.009296592,-0.005635848,1.042734037
2031,777768.000000000,1699952.000000000,0.867864800,0.009392158,-0.005165031,1.077213816
2032,833830.900000000,1840453.000000000,0.868597800,0.010175867,-0.004742029,1.11439908
2033,893292.100000000,1992466.000000000,0.869079100,0.010825766,-0.004361599,1.154473321
2034,956294.200000000,2154779.000000000,0.869395300,0.011333681,-0.004016681,1.197597147
2035,1023060.000000000,2327219.000000000,0.869602900,0.011764028,-0.003703796,1.243972018
2036,1092101.000000000,2506280.000000000,0.869739200,0.012112939,-0.003425617,1.298618674
2037,1165471.000000000,2697738.000000000,0.869828700,0.012386486,-0.003171544,1.357882226
2038,1241957.000000000,2900334.000000000,0.869887500,0.012592332,-0.002938536,1.422247298
2039,1322171.000000000,3114730.000000000,0.869926100,0.012768114,-0.002726382,1.492260844
2040,1406524.000000000,3341618.000000000,0.869951500,0.012909308,-0.002531351,1.568580413
2041,1493401.000000000,3577187.000000000,0.869968100,0.012986882,-0.002357100,1.657725728
2042,1584818.000000000,3828249.000000000,0.869979100,0.013088041,-0.002196321,1.75611383
2043,1679518.000000000,4093245.000000000,0.869986300,0.013194543,-0.002048340,1.865234574
2044,1778260.000000000,4372838.000000000,0.869991000,0.013250378,-0.001912110,1.986950373
2045,1881488.000000000,4667746.000000000,0.869994100,0.013297422,-0.001786030,2.123576911
2046,1984861.000000000,4967164.000000000,0.869996100,0.013329534,-0.001674092,2.295844607
2047,2093635.000000000,5287627.000000000,0.869997400,0.013339540,-0.001570230,2.494877343
2048,2203906.000000000,5624126.000000000,0.869998300,0.013327697,-0.001472959,2.727479829
2049,2317036.000000000,5977267.000000000,0.869998900,0.013314016,-0.001383383,3.003023995
2050,2433768.000000000,6347760.000000000,0.869999300,0.013301325,-0.001301063,3.334668381
