OBS,VNM_CAN_0,VNM_CANOTH_0,VNM_CANRATIO_0,VNM_CLIMLOSS_0,VNM_CMUD_0,VNM_CO2_0,VNM_COALC_0,VNM_CTAX_0,VNM_CTAXR_0,VNM_CXS_0,VNM_CXUD_0,VNM_DEP_0,VNM_EC_0,VNM_EFEX_0,VNM_EFF_0,VNM_ENAB_0,VNM_EXP_0,VNM_EXPE_0,VNM_EXPEB_0,VNM_EXPH_0,VNM_EXPHB_0,VNM_EXPSP_0,VNM_EXPSPB_0,VNM_EXR_0,VNM_FINC_0,VNM_FUELSH_0,VNM_GASC_0,VNM_GCARB_0,VNM_GCARBB_0,VNM_GCARBR_0,VNM_GCARBRB_0,VNM_GCOM_0,VNM_GCR_0,VNM_GDFXSH_0,VNM_GDI_0,VNM_GDN_0,VNM_GDNRATIO_0,VNM_GINI_DISP_0,VNM_GINT_0,VNM_GIP_0,VNM_GLN_0,VNM_GLNRATIO_0,VNM_GLNT_0,VNM_GOTH_0,VNM_GTRADE_0,VNM_GTRADER_0,VNM_HEAD19_0,VNM_HEAD55_0,VNM_HIC_0,VNM_IGR_0,VNM_INFT_0,VNM_INT_0,VNM_IPR_0,VNM_ITAX_0,VNM_ITAXR_0,VNM_ITR_0,VNM_K_0,VNM_KSTAR_0,VNM_LABSH_0,VNM_LFN_0,VNM_LIVES_0,VNM_LNN_0,VNM_LNNF_0,VNM_LOCK_0,VNM_LRX_0,VNM_LTI_0,VNM_MTD_0,VNM_MTN$_0,VNM_MTN_0,VNM_MTR$_0,VNM_MTR_0,VNM_OGC_0,VNM_OGI_0,VNM_OILC_0,VNM_OMS_0,VNM_OXS_0,VNM_PC_0,VNM_PCR_0,VNM_PE_0,VNM_PG_0,VNM_PM25_0,VNM_POIL_0,VNM_POPT_0,VNM_POPWA_0,VNM_PR_0,VNM_PREM_0,VNM_PROF_0,VNM_RC_0,VNM_REFEX_0,VNM_REL_RED_0,VNM_REMIT_0,VNM_REV_0,VNM_REVG_0,VNM_RPDI_0,VNM_SCR_0,VNM_SDLI_0,VNM_SHAREE_0,VNM_SHAREH_0,VNM_SHARESP_0,VNM_SHAREX_0,VNM_SOLV_0,VNM_TAX_0,VNM_TAXR_0,VNM_TECHL_0,VNM_TFP_0,VNM_TOURSH_0,VNM_URX_0,VNM_URXF_0,VNM_USER_0,VNM_WDR_0,VNM_XTD$_0,VNM_XTDNO$_0,VNM_XTN$_0,VNM_XTN_0,VNM_XTR$_0,VNM_XTR_0,VNM_YBAR_0,VNM_YED_0,VNM_YEN$_0,VNM_YEN_0,VNM_YER$_0,VNM_YER_0,VNM_YFT$_0,VNM_YFT_0,WLD_CO2_0,WLD_COALC_0,WLD_DD$_0,WLD_EC_0,WLD_GASC_0,WLD_HIC_0,WLD_LOCK_0,WLD_MTN$_0,WLD_MTR$_0,WLD_OILC_0,WLD_PC_0,WLD_PE_0,WLD_PG_0,WLD_POIL_0,WLD_POPT_0,WLD_POPWA_0,WLD_PR_0,WLD_RC_0,WLD_TECHL_0,WLD_XTN$_0,WLD_XTR$_0,WLD_YEN$_0,WLD_YER$_0,WLD_YFT$_0,USA_INFT_0,USA_INT
2000,0.850000000,0.277795399,2.726751176,12476.324058959,0.793979956,52.332100000,0.196330054,22240.000000000,,0.480747859,0.738342068,0.007408527,0.754747684,1.593375187,0.461424328,0.650000000,99751.000000000,1050.131512945,1050.131512945,8124.904736340,8124.904736340,16579.880004616,16579.880004616,14167.750000000,21.369493484,0.017604790,0.055584000,,,,,4837.021496063,87006.218359437,0.512000000,1557203.053983110,138816.710437500,31.431669355,33.800000000,2.531395528,3514.000000000,-9002.000000000,-2.038284056,-2.038284056,,13437.000000000,0.055285148,34.760000000,89.000000000,0.330188119,57741.169436675,5.000000000,6.000000000,244441.658425295,29809.000000000,0.080890621,302182.827861970,2879935.620330010,2845487.079562190,0.496174774,41917.649887457,0.592000000,40970.311000000,19810.058000000,0.000000000,0.845966800,10.550000000,0.374998146,17.922888250,253927.000000000,31.208199495,677142.015106372,42366.081089347,28116.002656752,0.357323630,0.125147290,0.227570371,1.466988136,1116060.642493810,3.221891058,3.910628519,36.238845428,4.078977958,79910.411000000,49549.994000000,,397.829094303,,0.145510000,,15.288220551,18984.851732000,90749.000000000,2028.000000000,699025.214825006,90308.189768125,0.618228467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1831.000000000,0.007752329,3.376608258,0.005592331,0.028210653,2.260000000,2.140000000,,367.197909732,0.523100740,0.518055517,17.155088140,243049.000000000,32.794998809,711571.700320716,4.398061452,0.270950534,31.172627976,441646.000000000,75.123055324,1629987.563697690,75.925092946,1647389.829138700,24338.372400000,,47719.903029302,,,0.558415844,0.000000000,7939.264372774,10581.063689962,,31.759444444,,4.723250750,28.307500000,6143493.806000000,3869966.199000000,,,15.296954498,7975.920908980,11018.298611733,33636.793897362,48157.137951073,47483.824867200,2.000000000,5.995833333
2001,0.920000000,0.565798008,2.814729705,13336.566335430,0.755206087,59.529200000,0.214557140,25805.000000000,,0.463591107,0.715420060,0.011292399,0.852339406,1.613626260,0.476805139,0.650000000,117285.000000000,1227.082257511,1227.082257511,8131.019985877,8131.019985877,18202.568463129,18202.568463129,14725.166666667,21.369493484,0.017470339,0.069480000,,,,,5537.344644932,92752.586850701,0.512000000,1667796.613056940,155345.736000000,32.276615381,33.900000000,2.887108533,4485.000000000,-13397.000000000,-2.783531929,-2.783531929,,17458.000000000,0.066419120,35.880000000,89.000000000,0.329164338,75567.889222658,5.000000000,4.800000000,259005.958735526,33972.000000000,0.088516149,334573.847958184,3181988.085252990,3168054.647934050,0.488312266,42977.962772522,0.392000000,41791.771000000,20065.308000000,0.000000000,0.846559032,9.420000000,0.381215689,18.595918552,273828.000000000,33.105186593,718302.020693334,46970.924024380,38268.405269103,0.387384734,0.111628484,0.195654022,1.704184051,1165965.842914940,2.971453477,3.839765239,36.540994933,3.517606650,80742.500000000,50767.827319237,,397.829094303,,0.180917532,0.785330017,15.250000000,16197.683370000,103888.000000000,2011.000000000,752890.261370122,112559.462447655,0.620179226,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2058.000000000,0.008213837,3.381725387,0.002498756,0.027995203,2.760000000,3.270000000,,377.268427148,0.513104314,0.524592253,17.850120542,262846.000000000,34.788482709,754825.451802338,4.618917830,0.276229258,32.685198809,481295.000000000,80.302788378,1742375.171280480,81.226558853,1762418.743508260,24555.274100000,,48860.562081351,,,0.583858237,0.000000000,7735.743667326,10740.897934266,,36.894598765,,4.637662195,24.411666667,6222626.531000000,3939797.622070710,,,15.312395455,7725.341953951,11045.267311469,33464.808688641,49164.931458554,49036.045173323,2.000000000,3.469166667
2002,-0.626800840,-0.584961447,-1.787585426,14280.771209178,0.745386844,68.661300000,0.245012349,29271.000000000,,0.438376561,0.723487797,0.013877276,0.933492995,1.550482729,0.492185950,0.650000000,134334.000000000,1438.431847251,1438.431847251,9873.240246427,9873.240246427,18201.357992579,18201.357992579,15279.500000000,21.369493484,0.018167163,0.083376000,,,,,6487.596650264,97740.720827351,0.512000000,1738057.955261840,188511.866950208,35.185747953,34.100000000,2.827408208,5330.000000000,-12618.000000000,-2.355150235,-2.355150235,,21915.000000000,0.072026740,37.000000000,89.000000000,0.342590124,89343.535513002,5.000000000,4.800000000,288269.591879439,41731.000000000,0.097067853,377613.127392441,3515443.884964520,3517323.871262830,0.475774096,43918.561503882,0.147000000,42987.488000000,20694.116000000,0.000000000,0.845001899,9.061666667,0.413568055,21.724925554,331946.000000000,36.992135735,802639.362089377,51978.286711045,47512.683202697,0.425472775,0.099832162,0.179427983,1.404502505,1254898.292752070,2.880813001,3.538174969,36.843144438,3.602142565,81534.406000000,51974.512194398,,397.829094303,,0.179631871,0.771728218,15.174129353,27044.715000000,121716.000000000,2250.000000000,835388.712430196,97615.088619753,0.624084290,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2338.000000000,0.008379937,3.396251751,0.006911268,0.029111823,2.120000000,2.330000000,,408.748830356,0.514055094,0.522141736,19.913086161,304262.000000000,38.737260636,840504.327411060,4.860692979,0.287159112,35.064105501,535762.000000000,85.988081148,1865732.194913300,87.089161716,1889622.964841230,25116.161000000,103.509392602,49889.494639276,407.299385219,90.055550504,0.605060942,0.000000000,8050.288660816,11052.665081411,156.957217046,30.406666667,3.472063213,4.273401959,24.998333333,6301773.171999990,4010146.155943130,,56.777225067,15.328091585,8120.555686165,11447.740564716,34797.764636564,50284.570122581,50697.681740998,2.000000000,1.633333333
2003,-1.931000000,-0.724141333,-4.882117070,15329.150485294,0.788497659,76.277000000,0.285253927,47410.000000000,,0.411530159,0.794825058,0.017748563,1.007632170,1.464418846,0.507566761,0.650000000,172885.600000000,2191.512742424,2191.512742424,12043.302103764,12043.302103764,22018.211485115,22018.211485115,15509.583333333,21.369493484,0.018968028,0.082438020,,,,,8152.776305780,104769.888591769,0.512000000,1811055.570489020,232387.380662588,37.882473296,34.100000000,2.751870597,6395.000000000,-19928.600000000,-3.248647389,-3.248647389,,22373.500000000,0.061510440,31.400000000,86.600000000,0.353904732,114446.924856076,5.000000000,5.000000000,308109.704648486,51699.500000000,0.107776153,422556.629504562,3875606.437186620,3894935.708847370,0.469521849,44788.049104859,0.128000000,43780.318000000,21026.257000000,0.000000000,0.842212606,9.480000000,0.460240541,26.759132794,415023.000000000,41.560067610,901752.372265995,62244.204124325,67993.369544373,0.453731377,0.096789691,0.173802894,1.687305945,1355430.627350570,3.278120949,3.948655002,37.145293942,4.156413143,82301.650000000,53179.029573971,,397.829094303,,0.186208846,0.735078565,15.384615385,32570.124930000,152957.000000000,2969.000000000,876525.256536987,79714.967572130,0.624084290,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2951.000000000,0.009678876,3.408093026,0.005559737,0.030395163,2.250000000,2.640000000,,460.826341810,0.540199977,0.538037192,23.452274132,363735.000000000,43.414059876,941979.494614816,5.127741725,0.306308101,39.552513231,613443.000000000,92.300633947,2002699.235367850,93.042107617,2018787.410360670,26346.340600000,112.611889819,51525.822035674,421.667378243,92.560819302,0.628484759,0.000000000,9336.588404022,11753.233364323,160.451186425,36.529197531,3.967437840,4.769179074,28.844888661,6381185.141000000,4081172.728611150,,56.043482697,15.344059022,9419.048695223,12083.831701137,39044.051044555,51856.420372488,52419.289578028,2.000000000,1.030000000
2004,-1.591000000,-0.678338201,-3.214508467,16484.418209170,0.841271870,87.800200000,0.373838202,56987.000000000,,0.419337737,0.862207439,0.021411265,1.232726811,1.399836454,0.522947572,0.650000000,192373.000000000,2024.778350919,2024.778350919,15434.905500102,15434.905500102,26220.779211238,26220.779211238,15746.000000000,21.369493484,0.019301135,0.144518400,,,,,10174.767768324,113436.852843965,0.512000000,1968582.394644010,290556.451315872,37.282469393,34.300000000,2.483854675,7217.000000000,-1480.732731964,-0.189998785,-0.189998785,,21614.000000000,0.045966109,25.800000000,84.200000000,0.381845158,100525.175871298,5.000000000,5.000000000,366151.716042228,68985.000000000,0.125617424,466676.891913526,4259301.693737400,4302512.320123540,0.456089874,45667.424892704,0.189000000,44690.142000000,21468.394000000,0.000000000,0.839584179,9.722500000,0.533762882,33.292010669,524216.000000000,45.263783696,982114.002052205,75006.484846826,66469.052090915,0.540729827,0.111302320,0.196186665,3.344970063,1438194.081286360,4.582489671,4.290478708,37.447443447,5.516103904,83062.819000000,54392.907833161,,397.829094303,,0.173640382,0.735393681,15.099009901,39629.227313419,190892.267268036,2877.000000000,927797.603687659,86676.809105279,0.627994120,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3521.000000000,0.010465658,3.403021965,-0.002312859,0.030928948,2.140000000,2.440000000,,531.423506933,0.628608929,0.603725640,29.862568271,470216.000000000,47.505797135,1030760.239968050,5.418774659,0.361871670,49.494347771,779338.000000000,99.256788719,2153630.873064970,99.184859130,2152070.175961240,27569.077600000,120.482303662,53875.863085353,442.578049864,96.145767405,0.652183833,0.000000000,11256.179813208,13074.466091820,166.547577642,72.416666667,5.478076502,5.182033189,38.280940194,6461159.391000000,4153070.770226710,,59.402401155,15.360205048,11406.939035957,13379.882746214,43951.956137351,54181.279739747,54206.388755659,2.000000000,1.395000000
2005,-0.560189000,-1.799170447,-0.971989163,17728.538087808,0.877338869,94.859100000,0.391465008,75847.000000000,0.170230463,0.439959109,0.898425188,0.021968241,1.304920167,1.362749346,0.538328383,0.650000000,239364.000000000,3655.328786879,3655.328786879,22577.132301420,22577.132301420,36066.222468586,36066.222468586,15858.916666667,21.369493484,0.020377335,0.223725600,,,,,12168.233029868,122743.386319007,0.512000000,2169054.731353660,332713.256635512,36.401848208,34.400000000,1.990001861,6621.000000000,-11071.655191042,-1.211339505,-1.211339505,,23660.000000000,0.040637969,22.300000000,82.050000000,0.413899055,117291.167433243,5.000000000,5.000000000,394890.876109513,82830.320000000,0.131474523,512182.043542756,4677914.370681680,4741482.571810620,0.453992599,46599.479922346,0.308000000,45606.911000000,21920.580000000,0.000000000,0.837731788,11.025000000,0.559292142,38.623118560,612520.818650000,50.474391075,1095171.507372710,87157.920607754,83286.395835361,0.529127977,0.129994844,0.209370860,2.856427370,1522135.445403560,5.582979537,5.007217052,37.749592952,7.843609525,83832.662000000,55625.775000000,,360.813790653,445554.801151500,0.160601582,0.754455995,14.851485149,49955.587605000,228292.344808958,3789.000000000,1111120.330887520,83915.939890275,0.629950834,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4234.000000000,0.009736828,3.412657265,0.004374355,0.032653495,2.130000000,2.290000000,9.908563454,587.420744973,0.680610733,0.585751772,36.712100000,582214.134560000,53.939936926,1170365.422402350,5.726730542,0.394617283,57.633255739,914001.000000000,106.747944450,2316170.730185250,105.693901338,2293300.558621950,28472.676400000,129.409505309,56248.552072385,456.676382120,98.777537696,0.678419176,0.000000000,12764.065544750,14250.869222863,168.041162675,61.840000000,6.555931063,6.047708592,54.433482825,6541906.956000000,4225982.023000000,,60.448176440,15.376308862,12975.576197098,14383.572362023,47623.151221448,56381.255211545,56059.208424684,2.000000000,3.213333333
2006,-0.163741800,-2.033510911,-0.246704374,18965.627464374,0.907115329,99.130400000,0.239814584,99796.000000000,0.192846644,0.429948938,0.935270793,0.025855159,1.192666742,1.327606605,0.553709194,0.650000000,276774.000000000,5533.053016567,5533.053016567,25029.985241697,25029.985241697,41587.199581866,41587.199581866,15994.250000000,21.369493484,0.021694694,0.243180000,,,,,14896.400034671,133173.172347159,0.512000000,2334482.071548130,407714.013705775,38.406881699,34.400000000,1.953575235,7965.000000000,2702.410813297,0.254568567,0.254568567,,26280.000000000,0.036503672,18.800000000,79.900000000,0.444953475,119091.649597337,5.000000000,6.500000000,443808.114723148,98963.000000000,0.135967387,562899.764320485,5119865.917335120,5212843.224363980,0.449958512,47441.418504902,0.579000000,46454.637000000,22344.381000000,0.000000000,0.836062213,11.176250000,0.595275318,46.941880490,750800.172030000,58.129346360,1261265.416372750,103818.166262031,92840.595897839,0.519374799,0.129360387,0.195713971,2.608550703,1635774.739670140,6.939092218,5.910182171,38.072753759,9.420416610,84617.545000000,56743.885498887,,318.103824904,517488.911373611,0.190297358,0.768163076,14.851485149,60778.150000000,279476.410813297,7897.000000000,1229602.261837060,70526.159200414,0.629950834,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5179.000000000,0.009942539,3.445114805,0.014604546,0.034764486,2.080000000,2.090000000,10.855143934,657.578147277,0.730646552,0.604838851,45.011649602,719927.576640000,61.605230998,1336683.657937040,6.023816713,0.428431832,66.371664817,1061565.000000000,114.196767776,2477792.077102490,112.676739219,2444811.154882170,29384.001900000,136.241126678,58830.842837318,469.772586541,101.384206222,0.705674555,0.000000000,14593.768466421,15637.850168086,169.854083304,56.473613580,7.403179525,7.138308390,65.376289337,6623517.917000000,4290047.027846720,,62.293170336,15.392128325,14942.138896493,15740.639633855,51612.244947743,58933.632303087,57969.435602518,2.000000000,4.848333333
2007,-6.992000000,-2.667156040,-9.031908397,20317.782724858,0.963749558,100.577300000,0.262513374,104551.600000000,0.172024471,0.396266312,1.014269870,0.023752270,1.302724449,1.268432139,0.569090005,0.650000000,352967.078927000,6279.701425537,6279.701425537,30886.791528814,30886.791528814,53538.076314546,53538.076314546,16105.125000000,21.369493484,0.022743248,0.245959200,,,,,17346.397136046,145030.698326084,0.512000000,2444711.869599420,509893.131782477,40.897161526,34.500000000,2.482873216,12660.000000000,-27525.441964992,-2.207741929,-2.207741929,,38324.000000000,0.043235815,16.450000000,78.850000000,0.482102036,145051.172939838,5.000000000,6.500000000,553829.325152734,108647.200000000,0.125497301,698880.498092572,5697137.976013190,5716955.356227750,0.452549243,48340.473614372,0.326000000,47359.162000000,22782.605000000,0.000000000,0.835116517,11.180000000,0.655771484,65.542898865,1055576.579080000,74.186720007,1609671.364956790,124792.446083171,124810.063574932,0.578942626,0.119996720,0.164643735,3.906108999,1795747.153260150,7.970305117,6.400166043,38.395914566,10.480218742,85419.588000000,57884.705458230,,318.103824904,607771.669699326,0.215309250,0.768885509,14.814814815,99529.672500000,325441.636962008,6012.000000000,1358234.469655030,136791.649352427,0.631908754,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7415.000000000,0.011902288,3.432940765,-0.005509352,0.036444734,2.030000000,1.930000000,10.332705177,724.893197439,0.802727571,0.687370988,55.038054905,886394.754000000,68.563802844,1487667.740268360,6.343489539,0.469690785,77.414425532,1246769.000000000,122.338431455,2654446.374342790,119.789781906,2599146.878719220,30245.097000000,144.170435578,61597.195662308,484.569446126,105.514639930,0.735890926,0.000000000,16925.244468204,16941.118086604,172.136543410,84.565000000,8.620999927,7.730110112,72.731158416,6705946.643000000,4354922.682510060,,62.747827208,15.407462217,17364.774310452,16865.288212480,58186.620256985,61521.365788184,59786.590240188,2.000000000,4.471666667
2008,-10.787000000,-4.066566079,-10.881637152,21468.129097283,1.029052422,113.244500000,0.497741302,137239.000000000,0.174208403,0.403957730,1.095938259,0.028149284,1.617991980,1.226198524,0.584470816,0.650000000,438703.000000000,5597.482258477,5597.482258477,39900.201935967,39900.201935967,67631.201891073,67631.201891073,16302.250000000,21.369493484,0.022876930,0.260515260,,,,,22894.217355551,155938.340174494,0.512000000,2616909.135183490,637028.122028251,39.418910590,34.600000000,2.626257683,16730.000000000,-9176.827232303,-0.567856457,-0.567856457,,60736.000000000,0.052553999,14.100000000,77.800000000,0.593542083,152311.741958112,5.000000000,10.250000000,573397.137862606,139976.000000000,0.121974365,725708.879820718,6262476.503287550,6253250.272775730,0.455130538,49294.084521385,0.411000000,48406.791000000,23276.999000000,0.000000000,0.834760483,15.783571429,0.794426121,84.416722627,1376182.516440000,79.838335241,1732297.667989880,156238.850492077,152605.263422406,0.612267896,0.133666603,0.161169612,6.838904845,1933452.448085500,10.739416695,10.389362118,38.719075373,14.059271316,86243.424000000,59051.770538166,,318.103824904,787786.336925756,0.247467522,0.868914578,14.567901235,110936.811250000,429526.172767697,9413.000000000,1420623.334221700,158863.063448178,0.633867887,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,12940.000000000,0.017752224,3.420598540,-0.005617324,0.036658951,1.800000000,1.640000000,16.467229558,752.829153632,0.984068871,0.815380971,70.891288706,1155687.511300000,72.038950512,1563069.991358760,6.599487014,0.576185261,99.130304099,1616047.000000000,129.264953544,2804735.054897780,127.400909433,2764289.831988000,30882.514800000,146.062671193,62806.238279395,489.821256783,108.049953767,0.782253370,0.000000000,19388.247499017,17423.062059921,170.378757377,148.058333333,12.842660569,12.548254627,97.569250651,6789088.672000000,4420545.171430110,,65.329874446,15.422278627,19848.032160237,17385.278630916,63809.422038977,62768.454850389,61628.501214802,2.000000000,1.391666667
2009,-6.608000000,-1.637322895,-6.233100240,22626.956710303,0.962974604,122.832900000,0.467036968,112164.300000000,0.127182061,0.368579144,1.016391470,0.029495387,1.646709960,1.213811355,0.599851627,0.650000000,573700.090000000,8330.596821812,8330.596821812,55112.236507776,55112.236507776,97483.007665949,97483.007665949,17065.083333333,21.369493484,0.020144539,0.278267400,,,,,24672.005845816,167785.668010913,0.512000000,2779159.397201300,834964.895930000,46.152356491,34.800000000,2.454006162,20490.090000000,-110820.224710072,-6.125544370,-6.125544370,,76981.000000000,0.067571443,9.050000000,62.300000000,0.633410202,227989.874034165,5.000000000,8.000000000,561039.603160151,157369.600000000,0.125669600,789029.477194316,6866791.815350460,6820961.105579610,0.466366245,50214.541013637,0.356000000,49340.808000000,23704.363000000,0.000000000,0.833467438,10.069000000,0.718069060,77.750003177,1326810.283390000,85.159198739,1847747.462883130,166305.525926527,225978.633077936,0.617594370,0.090444229,0.113889455,3.640128066,1976994.918003140,6.818173122,7.499710557,39.042236181,8.914395079,87092.250000000,60247.753835164,,318.103824904,881919.191498078,0.283811222,0.906697672,14.074074074,102731.801466000,462879.865289928,7908.000000000,1563548.161974320,133468.388959649,0.637789810,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14318.000000000,0.015007594,3.436174671,0.007264182,0.032280453,1.740000000,1.570000000,9.186954451,708.776367836,0.834109366,0.789571369,66.759326084,1139253.462900000,80.036658037,1736600.790222340,6.849729332,0.611998766,106.014659563,1809149.000000000,136.242543295,2956131.779507220,135.549073924,2941085.181029450,30445.982700000,144.032865560,61810.834452017,482.749630573,105.853541606,0.803736594,0.000000000,15554.666725374,15550.327114892,167.065655820,78.806666667,8.055780647,9.058138182,61.864575216,6872766.988000000,4486802.597314580,,65.797567587,15.436830182,15963.224889601,15710.414079000,60535.316404637,61970.921416126,63490.927971429,2.000000000,0.150833333
