Variable,Description,unit
VNM_CAN,Current Account Balance,bln USD
VNM_CANOTH,"Other items for current account, including net ODI and other grants",bln USD
VNM_CANRATIO,Current Account Balance,% GDP
VNM_CLIMLOSS,"Average annual financial losses from climate shocks, Constant prices",bln LCY
VNM_CLIMLOSS$,"Average annual financial losses from climate shocks, Constant prices shock",
VNM_CMUD,"Non-oil import price, 2015 = 1",USD
VNM_CO2,Territorial carbon dioxide emissions,MtCO2
VNM_COALC,Coal consumption,Exojoules
VNM_CTAX,"General government taxes on income, profits, and capital gains, payable by corporations",bln LCY
VNM_CTAXR,Corporate tax rate,
VNM_CXS,"Exports of Primary commodities, precious stones and non-monetary gold as a share of Total Merchandise exports plus Total Services exports",percent / 100
VNM_CXUD,"Global non-oil export price, 2015 = 1",USD
VNM_DEP,Depreciation rate of capital stock,percent / 100
VNM_EC,Primary energy consumption,Exojoules
VNM_EFEX,"Effective exchange rate, 2015 = 1",index
VNM_EFF,Energy efficiency index,index
VNM_ENAB,Average score on enabling factors,
VNM_EXP,General government expenditure,bln LCY
VNM_EXPE,General government expenditure on environmental protection,bln LCY
VNM_EXPH,General government expenditure on health,bln LCY
VNM_EXPSP,General government expense on social benefits,bln LCY
VNM_EXR,Exchange rate,LCY per USD
VNM_FINC,Benchmark index for financial inclusion,index
VNM_FUELSH,Fuel exports (SITC 3) as a share of nominal GDP,% GDP
VNM_GASC,Natural gas consumption,Exojoules
VNM_GCARB,General government net (after subsidies) carbon tax revenue,bln LCY
VNM_GCARBR,General government net (after subsidies) carbon tax rate,USD per tonne of CO2
VNM_GCOM,General government resource-related revenue,bln LCY
VNM_GCR,"General government final consumption expenditure, Constant 2015 prices",bln LCY
VNM_GDFXSH,Foreign currency share of general government gross debt,percent / 100
VNM_GDI,"Gross domestic income (terms of trade adjusted), Constant 2015 prices",bln LCY
VNM_GDN,General government gross debt,bln LCY
VNM_GDNRATIO,Gross government debt,% GDP
VNM_GINI_DISP,"Estimate of Gini index of inequality in equivalized household disposable (post-tax, post-transfer) income",index
VNM_GINT,General government average interest rate on outstanding debt,percent per annum
VNM_GIP,Gross government interest payments,bln LCY
VNM_GLN,General government net lending (fiscal balance),bln LCY
VNM_GLNRATIO,General government net lending (fiscal balance),% GDP
VNM_GLNT,Target for government fiscal balance,% GDP
VNM_GOTH,Government other net revenue,bln LCY
VNM_GTRADE,General government taxes on international trade and transactions,bln LCY
VNM_GTRADER,Tax rate on international trade and transactions,percent / 100
VNM_HEAD19,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),% of population
VNM_HEAD55,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),% of population
VNM_HIC,"Consumer Price Index, Period Average, 2015 = 100",index
VNM_IGR,"Public gross fixed capital formation, Constant 2015 prices",bln LCY
VNM_INFT,Inflation target (not necessarily explicit),percent
VNM_INT,Monetary Policy-Related Interest Rate,percent per annum
VNM_IPR,"Private gross fixed capital formation, Constant 2015 prices",bln LCY
VNM_ITAX,General government taxes on goods and services,bln LCY
VNM_ITAXR,Tax rate on goods and services,percent / 100
VNM_ITR,"Gross fixed capital formation (including Acquisitions less disposals of valuables), Constant 2015 prices",bln LCY
VNM_K,"Capital stock, Constant 2015 prices",bln LCY
VNM_KSTAR,"Trend capital stock, Constant 2015 prices",bln LCY
VNM_KY,"Trend capital stock, Constant 2015 prices shock",
VNM_LABSH,Share of labour compensation in GDP at current national prices,percent / 100
VNM_LFN,Labour Force,1000s
